"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 29 22:09:33 CST 2023","Mon May 29 22:09:34 CST 2023","1272","","test_casedome","Test_show","","","test_01[\u6253\u5f00pytest\u6587\u6863-get-https://learning-pytest.readthedocs.io/zh/latest/doc/test-function/mark.html-None-200]",""
"passed","Mon May 29 22:09:33 CST 2023","Mon May 29 22:09:33 CST 2023","94","","test_casedome","Test_show","","","test_01[\u767b\u5f55\u6210\u529f-get-https://www.baidu.com-None-200]",""
"failed","Mon May 29 22:09:34 CST 2023","Mon May 29 22:09:35 CST 2023","101","","test_casedome","Test_show","","","test_01[\u6253\u5f00\u7b80\u4e66\u9996\u9875-get-https://www.jianshu.com-None-304]",""
